
2024/12/31 (17:14:37) | ===> btop++ v.1.4.0
2024/12/31 (17:14:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (19:06:19) | ===> btop++ v.1.4.0
2025/01/07 (19:06:19) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/07 (19:06:28) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/01/07 (19:06:32) | ===> btop++ v.1.4.0
2025/01/07 (19:06:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (10:03:46) | ===> btop++ v.1.4.0
2025/01/14 (10:03:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (10:41:51) | ===> btop++ v.1.4.0
2025/01/14 (10:41:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (21:31:38) | ===> btop++ v.1.4.0
2025/01/18 (21:31:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (20:25:11) | ===> btop++ v.1.4.0
2025/01/21 (20:25:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (18:52:26) | ===> btop++ v.1.4.0
2025/01/25 (18:52:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (18:52:45) | ===> btop++ v.1.4.0
2025/01/25 (18:52:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (10:47:03) | ===> btop++ v.1.4.0
2025/01/28 (10:47:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (11:05:54) | ===> btop++ v.1.4.0
2025/01/28 (11:05:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (12:53:40) | ===> btop++ v.1.4.0
2025/01/28 (12:53:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/28 (12:55:45) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/01/28 (12:55:49) | ===> btop++ v.1.4.0
2025/01/28 (12:55:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (19:04:33) | ===> btop++ v.1.4.0
2025/01/28 (19:04:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (15:08:24) | ===> btop++ v.1.4.0
2025/01/29 (15:08:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (09:05:25) | ===> btop++ v.1.4.0
2025/01/31 (09:05:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (15:03:07) | ===> btop++ v.1.4.0
2025/01/31 (15:03:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (20:09:26) | ===> btop++ v.1.4.0
2025/02/10 (20:09:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (10:33:45) | ===> btop++ v.1.4.0
2025/02/13 (10:33:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (11:11:32) | ===> btop++ v.1.4.0
2025/02/13 (11:11:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (17:31:15) | ===> btop++ v.1.4.0
2025/02/16 (17:31:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (20:16:58) | ===> btop++ v.1.4.0
2025/02/18 (20:16:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (09:49:35) | ===> btop++ v.1.4.0
2025/02/24 (09:49:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (15:47:34) | ===> btop++ v.1.4.0
2025/02/24 (15:47:34) | WARNING: Intel GPU: Failed to initialize PMU
